ID,Name,Macroarea,Latitude,Longitude,Glottocode,ISO639P3code,Family,Genus
hawaiian,Hawaiian,,,,,,Austronesian,Oceanic
kolasaami,Kola Saami,,,,,,Uralic,Saami
kurmanji,Kurmanji,,,,,,Indo-European,Iranian
manange,Manange,,,,,,Sino-Tibetan,Tibeto-Burman
yiddish,Yiddish,,,,,,Indo-European,Germanic
bulgarian,Bulgarian,,,,,,Indo-European,Slavic
meglenoromanian,Megleno-Romanian,,,,,,Indo-European,Romance
arvaniticalbanian,Arvanitic Albanian,,,,,,Indo-European,Albanian
lithuanianromani,Lithuanian Romani,,,,,,Indo-European,Indo-Aryan
sierrapopoluca,Sierra Popoluca,,,,,,Mixe-Zoque,
makranbaluchi,Makrān Baluchi,,,,,,Indo-European,Iranian
brahui,Brahui,,,,,,Dravidian,
malay,Malay,,,,,,Austronesian,Malayo-Polynesian
semelai,Semelai,,,,,,Austroasiatic,Mon-Khmer
tukangbesi,Tukang Besi,,,,,,Austronesian,Malayo-Polynesian
persian,Persian,,,,,,Indo-European,Iranian
lezgian,Lezgian,,,,,,Nakh-Daghestanian,Lezgic
chukchi,Chukchi,,,,,,Chukotko-Kamchatkan,
centralsiberianyupikeskimo,Central Siberian Yupik Eskimo,,,,,,Eskimo-Aleut,
karrwa,Karrwa,,,,,,Garrwan,
hindi,Hindi,,,,,,Indo-European,Indo-Aryan
kurux,Kurux,,,,,,Dravidian,
azari,Azari,,,,,,Turkic,
kashmiri,Kashmiri,,,,,,Indo-European,Indo-Aryan
komizyrian,Komi-Zyrian,,,,,,Uralic,Permic
khanty,Khanty,,,,,,Uralic,Khantic
swedish,Swedish,,,,,,Indo-European,Germanic
finnish,Finnish,,,,,,Uralic,Finnic
yucunaandcabiyari,Yucuna and Cabiyarí,,,,,,Arawakan,
carapanatatuyowaimajaandyuruti,"Carapana, Tatuyo, Wáimaja, and Yurutí",,,,,,Tucanoan,
latin,Latin,,,,,,Indo-European,Romance
basque,Basque,,,,,,Basque,
moroccanberberlanguages,Moroccan Berber languages,,,,,,Afro-Asiatic,Berber
moroccanarabic,Moroccan Arabic,,,,,,Afro-Asiatic,Semitic
tibetan,Tibetan,,,,,,Sino-Tibetan,Tibeto-Burman
wutun,Wutun,,,,,,Sino-Tibetan,Sinitic
quechuadepuno,Quechua de Puno,,,,,,Quechuan,
santa,Santa,,,,,,Mongolic-Khitan,
chineseoflinxiahezou,Chinese of Línxìa/Hézōu,,,,,,Sino-Tibetan,Sinitic
judeospanish,Judeo-Spanish,,,,,,Indo-European,Romance
karelian,Karelian,,,,,,Uralic,Finnic
easterntucanoanlanguages,Eastern Tucanoan languages,,,,,,Tucanoan,
tariana,Tariana,,,,,,Arawakan,
chool,Cho’ol,,,,,,Mayan,
zoqueanlanguages,Zoquean languages,,,,,,Mixe-Zoque,
westernneoaramaicofmalula,Western Neo-Aramaic of Ma’lūla,,,,,,Afro-Asiatic,Semitic
tibetoburmanlanguages,Tibeto-Burman languages,,,,,,Sino-Tibetan,Tibeto-Burman
assamese,Assamese,,,,,,Indo-European,Indo-Aryan
portuguese,Portuguese,,,,,,Indo-European,Romance
tetundili,Tetun Dili,,,,,,Austronesian,Malayo-Polynesian
purepechatarascan,Purepecha/Tarascan,,,,,,Tarascan,Purepecha
mexicanerodelasierramadreoccidental,Mexicanero de la Sierra Madre Occidental,,,,,,Uto-Aztecan,
yucatecmaya,Yucatec Maya,,,,,,Mayan,
iraqiarabic,Iraqi Arabic,,,,,,Afro-Asiatic,Semitic
alabamaandchoctawchickasaw,Alabama and Choctaw-Chickasaw,,,,,,Muskogean,
latvian,Latvian,,,,,,Indo-European,Baltic
german,German,,,,,,Indo-European,Germanic
quechua,Quechua,,,,,,Quechuan,
amuesha,Amuesha,,,,,,Arawakan,
tajik,Tajik,,,,,,Indo-European,Iranian
moghol,Moghol,,,,,,Mongolic-Khitan,
chinese,Chinese,,,,,,Sino-Tibetan,Sinitic
dagur,Dagur,,,,,,Mongolic-Khitan,
hungarian,Hungarian,,,,,,Uralic,Hungaric
evenki,Evenki,,,,,,Tungusic,
turkic,Turkic,,,,,,Turkic,
middlemongolic,Middle Mongolic,,,,,,Mongolic-Khitan,
lingala,Lingala,,,,,,Atlantic-Congo,Bantu
ndungale,Ndunga-le,,,,,,Atlantic-Congo,Ubangian
cushitic,Cushitic,,,,,,Afro-Asiatic,Cushitic
ilwana,Ilwana,,,,,,Atlantic-Congo,Bantu
northswahili,North Swahili,,,,,,Atlantic-Congo,Bantu
southswahili,South Swahili,,,,,,Atlantic-Congo,Bantu
nahuatl,Nahuatl,,,,,,Uto-Aztecan,
middlelowgerman,Middle Low German,,,,,,Indo-European,Germanic
french,French,,,,,,Indo-European,Romance
belarusian,Belarusian,,,,,,Indo-European,Slavic
lithuanian,Lithuanian,,,,,,Indo-European,Baltic
centralasianturkic,Central Asian Turkic,,,,,,Turkic,
molisanoneapolitan,Molisano Neapolitan,,,,,,Indo-European,Romance
slavomolisano,Slavomolisano,,,,,,Indo-European,Slavic
lombardic,Lombardic,,,,,,Indo-European,Germanic
tuscanitalian,Tuscan Italian,,,,,,Indo-European,Romance
italian,Italian,,,,,,Indo-European,Romance
arbereshalbanian,Arbëresh Albanian,,,,,,Indo-European,Albanian
chamacoco,Chamacoco,,,,,,Zamucoan,
kadiweu,Kadiwéu,,,,,,Guaicuruan,
nivacle,Nivaclé,,,,,,Mataguayan,
zamucoan,Zamucoan,,,,,,Zamucoan,
chaldeanneoaramaic,Chaldean Neo-Aramaic,,,,,,Afro-Asiatic,Semitic
suleimaniyajewishneoaramaic,Suleimaniya Jewish Neo-Aramaic,,,,,,Afro-Asiatic,Semitic
azeri,Azeri,,,,,,Turkic,
udi,Udi,,,,,,Nakh-Daghestanian,Lezgic
upperchinook,Upper Chinook,,,,,,Chinookan,
bellacoola,Bella Coola,,,,,,Salishan,
hebrew,Hebrew,,,,,,Afro-Asiatic,Semitic
welsh,Welsh,,,,,,Indo-European,Celtic
tasawaq,Tasawaq,,,,,,Songhay,
tamajeqtuareg,Tamajeq Tuareg,,,,,,Afro-Asiatic,Berber
polish,Polish,,,,,,Indo-European,Slavic
tagalog,Tagalog,,,,,,Austronesian,Malayo-Polynesian
danish,Danish,,,,,,Indo-European,Germanic
coos,Coos,,,,,,Coosan,
alsea,Alsea,,,,,,Alsea-Yaquina,
mandarin,Mandarin,,,,,,Sino-Tibetan,Sinitic
middlechinese,Middle Chinese,,,,,,Sino-Tibetan,Sinitic
vietnamese,Vietnamese,,,,,,Austroasiatic,Vietic
japanese,Japanese,,,,,,Japonic,
ancientgreek,Ancient Greek,,,,,,Indo-European,Greek
sahaptin,Sahaptin,,,,,,Sahaptian,
baram,Baram,,,,,,Sino-Tibetan,Tibeto-Burman
gurma,Gurma,,,,,,Atlantic-Congo,Gur
songhayciine,Songhay Ciiné,,,,,,Songhay,
caquinte,Caquinte,,,,,,Arawakan,
